学生ID,年级,学院,课后首选去向,周均图书馆时长,月均食堂消费
S0050,大二,设计学院,宿舍,17.3,1083.0
S0051,大三,设计学院,工作室,11.9,1074.0
S0052,大一,设计学院,工作室,12.7,1402.0
S0053,大四,设计学院,工作室,13.1,1736.0
S0054,大二,设计学院,宿舍,15.8,829.0
S0055,大一,设计学院,工作室,8.2,1445.0
S0056,大四,设计学院,图书馆,12.0,1143.0
S0057,大一,设计学院,体育馆,15.1,1482.0
S0058,大四,设计学院,图书馆,9.2,697.0
S0059,大四,设计学院,工作室,14.0,926.0
S0060,大四,设计学院,工作室,9.0,1346.0
S0061,大三,设计学院,图书馆,13.3,771.0
S0062,大四,设计学院,工作室,17.9,1616.0
S0063,大二,设计学院,工作室,15.3,1454.0
S0064,大四,设计学院,图书馆,15.3,1771.0
S0065,大三,设计学院,工作室,17.3,1495.0
S0066,大四,设计学院,工作室,9.5,1229.0
S0067,大二,设计学院,工作室,23.4,740.0
S0068,大一,设计学院,宿舍,10.9,1218.0
S0069,大一,设计学院,宿舍,9.8,1136.0
S0070,大三,设计学院,工作室,13.2,1105.0
S0071,大二,设计学院,宿舍,3.9,1037.0
S0072,大三,设计学院,工作室,9.4,1266.0
S0073,大一,设计学院,体育馆,15.3,1716.0
S0074,大二,设计学院,工作室,10.9,1104.0
S0075,大二,设计学院,宿舍,7.3,1184.0
S0076,大四,设计学院,工作室,22.5,1610.0
S0077,大二,设计学院,工作室,18.7,1088.0
S0078,大一,设计学院,工作室,15.0,1532.0
S0079,大二,设计学院,工作室,1.0,993.0
S0080,大一,设计学院,宿舍,20.3,714.0
S0081,大三,设计学院,工作室,19.5,869.0
S0082,大二,设计学院,体育馆,8.6,1616.0
S0083,大一,设计学院,宿舍,13.3,923.0
S0084,大四,设计学院,工作室,20.1,929.0
S0085,大二,设计学院,宿舍,12.3,1118.0
S0086,大四,设计学院,图书馆,14.3,875.0
S0087,大一,设计学院,工作室,10.3,1555.0
S0088,大一,设计学院,宿舍,17.0,1061.0
S0089,大三,设计学院,工作室,9.3,1132.0
S0090,大三,设计学院,工作室,12.9,1335.0
S0091,大二,设计学院,宿舍,15.5,960.0
S0092,大四,设计学院,工作室,16.7,1544.0
S0093,大一,设计学院,体育馆,18.9,1505.0
S0094,大二,设计学院,体育馆,14.5,1467.0
S0095,大四,设计学院,工作室,9.3,1928.0
S0096,大一,设计学院,工作室,18.2,1537.0
S0097,大三,设计学院,工作室,12.9,1031.0
S0098,大一,设计学院,宿舍,17.4,971.0
S0099,大二,设计学院,工作室,14.9,1131.0
S0100,大三,设计学院,工作室,14.1,1148.0
S0101,大一,设计学院,体育馆,10.9,1558.0
S0102,大一,设计学院,体育馆,6.5,1148.0
S0103,大三,设计学院,图书馆,9.8,957.0
S0104,大三,设计学院,工作室,16.9,1252.0
S0105,大一,设计学院,宿舍,12.9,942.0
S0106,大一,设计学院,工作室,14.5,1052.0
S0107,大三,设计学院,工作室,12.5,1421.0
S0108,大一,设计学院,体育馆,14.0,1503.0
S0109,大一,设计学院,宿舍,13.1,1100.0
S0110,大三,设计学院,工作室,22.7,1070.0
S0111,大二,设计学院,体育馆,22.9,1298.0
S0112,大一,设计学院,工作室,3.4,1142.0
S0113,大二,设计学院,工作室,14.5,1863.0
S0114,大二,设计学院,体育馆,9.0,1623.0
S0115,大四,设计学院,工作室,7.1,1849.0
S0116,大四,设计学院,图书馆,18.3,906.0
S0117,大四,设计学院,工作室,5.3,1706.0
S0118,大四,设计学院,工作室,12.5,1671.0
S0119,大二,设计学院,工作室,13.0,1314.0
S0120,大三,设计学院,图书馆,11.0,1125.0
S0121,大二,设计学院,工作室,13.5,1454.0
S0122,大一,设计学院,宿舍,6.1,1256.0
S0123,大一,设计学院,宿舍,20.0,1023.0
S0124,大二,设计学院,体育馆,22.3,1939.0
S0125,大四,设计学院,工作室,15.9,1711.0
S0126,大三,设计学院,工作室,17.8,772.0
S0127,大二,设计学院,宿舍,11.8,1144.0
S0128,大二,设计学院,宿舍,20.3,724.0
S0129,大四,设计学院,图书馆,5.3,989.0
S0130,大二,设计学院,体育馆,3.7,1478.0
S0131,大三,设计学院,工作室,14.6,1018.0
S0132,大一,设计学院,工作室,12.7,1587.0
S0133,大三,设计学院,工作室,10.6,1062.0
S0134,大一,设计学院,工作室,12.5,989.0
S0135,大一,设计学院,工作室,21.8,1311.0
S0136,大一,设计学院,宿舍,9.9,1043.0
S0137,大四,设计学院,图书馆,12.5,956.0
S0138,大三,设计学院,工作室,10.6,1127.0
S0139,大二,设计学院,宿舍,6.2,1273.0
S0140,大二,设计学院,宿舍,15.6,1062.0
S0141,大二,设计学院,宿舍,12.4,809.0
S0142,大二,设计学院,工作室,9.6,873.0
S0143,大一,设计学院,工作室,10.1,976.0
S0144,大一,设计学院,体育馆,20.6,1720.0
S0145,大三,设计学院,工作室,13.3,1042.0
S0146,大二,设计学院,宿舍,8.3,962.0
S0147,大一,设计学院,工作室,17.2,1873.0
S0148,大二,设计学院,体育馆,6.7,1641.0
S0149,大一,设计学院,工作室,10.1,1154.0
S0150,大一,设计学院,工作室,13.2,1051.0
S0151,大二,设计学院,体育馆,11.9,1273.0
S0152,大四,设计学院,图书馆,10.4,1151.0
S0153,大一,设计学院,宿舍,13.4,1150.0
S0154,大二,设计学院,工作室,10.0,1471.0
S0155,大二,设计学院,宿舍,5.7,1010.0
S0156,大一,设计学院,宿舍,15.9,668.0
S0157,大一,设计学院,宿舍,10.1,1009.0
S0158,大二,设计学院,工作室,17.5,1127.0
S0159,大一,设计学院,宿舍,15.4,1288.0
S0160,大二,设计学院,宿舍,15.6,959.0
S0161,大三,设计学院,图书馆,14.7,879.0
S0162,大四,设计学院,工作室,13.4,1253.0
S0163,大二,设计学院,体育馆,14.5,1397.0
S0164,大一,设计学院,工作室,14.8,1174.0
S0165,大三,设计学院,工作室,16.9,1202.0
S0166,大二,设计学院,体育馆,3.8,1248.0
S0167,大二,设计学院,工作室,13.1,1803.0
S0168,大一,设计学院,体育馆,16.7,947.0
S0169,大四,设计学院,工作室,6.3,1643.0
S0170,大一,设计学院,宿舍,15.8,1454.0
S0171,大四,设计学院,工作室,10.9,1045.0
S0172,大一,设计学院,宿舍,13.3,904.0
S0173,大三,设计学院,图书馆,17.7,898.0
S0174,大一,设计学院,体育馆,11.8,1255.0
S0175,大三,设计学院,工作室,16.4,1023.0
S0176,大三,设计学院,工作室,14.9,1863.0
S0177,大一,设计学院,工作室,5.0,1749.0
S0178,大二,设计学院,体育馆,14.3,1219.0
S0179,大二,设计学院,宿舍,13.5,1145.0
S0180,大三,设计学院,图书馆,9.4,1094.0
S0181,大二,设计学院,宿舍,20.2,898.0
S0182,大四,设计学院,图书馆,8.5,975.0
S0183,大四,设计学院,工作室,13.3,1628.0
S0184,大二,设计学院,工作室,12.3,1172.0
S0185,大三,设计学院,工作室,8.4,804.0
S0186,大二,设计学院,体育馆,7.2,1176.0
S0187,大三,设计学院,工作室,11.8,849.0
S0188,大一,设计学院,工作室,1.0,1284.0
S0189,大四,设计学院,工作室,21.3,1638.0
S0190,大一,设计学院,宿舍,11.8,779.0
S0191,大一,设计学院,体育馆,24.6,1515.0
S0192,大一,设计学院,宿舍,13.9,971.0
S0193,大一,设计学院,工作室,12.9,1137.0
S0194,大二,设计学院,工作室,11.9,1751.0
S0195,大二,设计学院,宿舍,18.6,585.0
S0196,大一,设计学院,工作室,6.7,1067.0
S0197,大三,设计学院,工作室,17.2,1681.0
S0198,大一,设计学院,工作室,16.2,961.0
S0199,大一,设计学院,工作室,10.6,1447.0
S0200,大三,设计学院,工作室,11.9,1188.0
S0201,大三,护理学院,宿舍,3.5,1232.0
S0202,大三,护理学院,图书馆,17.9,938.0
S0203,大一,护理学院,饭堂,4.5,1350.0
S0204,大二,护理学院,宿舍,3.2,1210.0
S0205,大一,护理学院,饭堂,1.7,1721.0
S0206,大三,护理学院,图书馆,13.9,1339.0
S0207,大一,护理学院,体育馆,3.2,1600.0
S0208,大四,护理学院,图书馆,18.5,994.0
S0209,大三,护理学院,图书馆,20.2,1134.0
S0210,大一,护理学院,饭堂,2.1,1620.0
S0211,大一,护理学院,饭堂,1.6,1710.0
S0212,大二,护理学院,宿舍,3.3,1105.0
S0213,大一,护理学院,饭堂,6.4,1914.0
S0214,大三,护理学院,图书馆,16.8,1161.0
S0215,大二,护理学院,宿舍,3.5,1040.0
S0216,大三,护理学院,图书馆,14.7,840.0
S0217,大二,护理学院,宿舍,4.9,649.0
S0218,大二,护理学院,宿舍,4.1,1036.0
S0219,大一,护理学院,饭堂,4.9,1296.0
S0220,大一,护理学院,饭堂,1.5,1797.0
S0221,大三,护理学院,图书馆,17.3,933.0
S0222,大二,护理学院,宿舍,1.7,920.0
S0223,大三,护理学院,宿舍,2.4,1186.0
S0224,大二,护理学院,饭堂,2.0,1555.0
S0225,大二,护理学院,宿舍,5.2,1124.0
S0226,大三,护理学院,图书馆,16.3,1127.0
S0227,大二,护理学院,饭堂,5.2,1627.0
S0228,大一,护理学院,宿舍,4.7,957.0
S0229,大四,护理学院,图书馆,16.9,1136.0
S0230,大四,护理学院,图书馆,16.3,1177.0
S0231,大三,护理学院,图书馆,14.9,1100.0
S0232,大一,护理学院,饭堂,2.4,1856.0
S0233,大三,护理学院,图书馆,17.6,614.0
S0234,大三,护理学院,图书馆,18.3,1057.0
S0235,大三,护理学院,图书馆,18.1,1009.0
S0236,大三,护理学院,宿舍,5.8,863.0
S0237,大二,护理学院,饭堂,5.4,1663.0
S0238,大四,护理学院,图书馆,16.3,1291.0
S0239,大二,护理学院,宿舍,3.4,944.0
S0240,大二,护理学院,饭堂,2.5,1446.0
S0241,大一,护理学院,饭堂,3.9,1647.0
S0242,大二,护理学院,宿舍,5.5,957.0
S0243,大四,护理学院,图书馆,20.5,867.0
S0244,大一,护理学院,体育馆,5.8,1905.0
S0245,大二,护理学院,饭堂,3.2,1480.0
S0246,大一,护理学院,宿舍,3.3,966.0
S0247,大四,护理学院,图书馆,19.1,886.0
S0248,大三,护理学院,图书馆,16.2,1127.0
S0249,大一,护理学院,宿舍,6.3,1359.0
S0250,大一,护理学院,宿舍,3.1,922.0
S0251,大四,护理学院,图书馆,17.8,1217.0
S0252,大二,护理学院,饭堂,1.4,1349.0
S0253,大一,护理学院,宿舍,2.7,998.0
S0254,大一,护理学院,宿舍,1.0,826.0
S0255,大二,护理学院,宿舍,6.0,774.0
S0256,大二,护理学院,饭堂,4.4,1661.0
S0257,大三,护理学院,宿舍,4.6,1143.0
S0258,大三,护理学院,图书馆,18.5,1306.0
S0259,大三,护理学院,图书馆,16.4,833.0
S0260,大三,护理学院,图书馆,17.6,1080.0
S0261,大二,护理学院,饭堂,5.2,1302.0
S0262,大四,护理学院,图书馆,15.0,1149.0
S0263,大三,护理学院,图书馆,16.5,1044.0
S0264,大三,护理学院,图书馆,16.9,1056.0
S0265,大三,护理学院,宿舍,3.3,1039.0
S0266,大二,护理学院,宿舍,4.2,860.0
S0267,大二,护理学院,宿舍,3.2,1075.0
S0268,大三,护理学院,图书馆,19.3,987.0
S0269,大三,护理学院,图书馆,14.8,560.0
S0270,大一,护理学院,宿舍,2.5,1142.0
S0271,大一,护理学院,宿舍,2.1,1174.0
S0272,大四,护理学院,图书馆,16.7,771.0
S0273,大四,护理学院,图书馆,19.8,786.0
S0274,大二,护理学院,饭堂,3.9,1649.0
S0275,大四,护理学院,图书馆,15.9,866.0
S0276,大一,护理学院,宿舍,5.4,931.0
S0277,大二,护理学院,体育馆,4.4,1442.0
S0278,大三,护理学院,宿舍,4.7,1122.0
S0279,大三,护理学院,图书馆,18.9,1098.0
S0280,大二,护理学院,饭堂,4.6,1449.0
S0281,大二,护理学院,饭堂,2.9,1597.0
S0282,大二,护理学院,饭堂,3.0,1799.0
S0283,大二,护理学院,饭堂,3.7,1462.0
S0284,大二,护理学院,宿舍,5.5,781.0
S0285,大四,护理学院,图书馆,15.5,990.0
S0286,大一,护理学院,体育馆,4.0,1210.0
S0287,大三,护理学院,宿舍,3.7,1005.0
S0288,大二,护理学院,宿舍,3.6,864.0
S0289,大一,护理学院,饭堂,2.5,1544.0
S0290,大二,护理学院,宿舍,3.1,1115.0
S0291,大一,护理学院,饭堂,6.1,1785.0
S0292,大一,护理学院,体育馆,4.1,1338.0
S0293,大三,护理学院,宿舍,5.3,1127.0
S0294,大二,护理学院,宿舍,6.0,1040.0
S0295,大二,护理学院,宿舍,6.6,1040.0
S0296,大一,护理学院,饭堂,3.0,1503.0
S0297,大四,护理学院,图书馆,15.5,894.0
S0298,大三,护理学院,图书馆,21.4,981.0
S0299,大三,护理学院,图书馆,15.3,1113.0
S0300,大三,护理学院,图书馆,18.6,978.0
S0301,大三,护理学院,宿舍,1.2,820.0
S0302,大二,护理学院,体育馆,1.7,2000.0
S0303,大三,护理学院,图书馆,14.6,885.0
S0304,大二,护理学院,体育馆,4.8,1187.0
S0305,大三,护理学院,宿舍,4.6,863.0
S0306,大四,护理学院,图书馆,16.2,866.0
S0307,大四,护理学院,图书馆,17.5,942.0
S0308,大二,护理学院,饭堂,3.8,1812.0
S0309,大二,护理学院,饭堂,2.3,1664.0
S0310,大二,护理学院,体育馆,5.2,1189.0
S0311,大二,护理学院,宿舍,1.7,946.0
S0312,大一,护理学院,饭堂,1.0,1651.0
S0313,大三,护理学院,图书馆,18.0,722.0
S0314,大三,护理学院,图书馆,18.3,1245.0
S0315,大二,护理学院,宿舍,4.5,1260.0
S0316,大四,护理学院,图书馆,16.6,961.0
S0317,大一,护理学院,饭堂,5.1,1610.0
S0318,大一,护理学院,饭堂,5.1,1584.0
S0319,大二,护理学院,宿舍,5.4,1069.0
S0320,大二,护理学院,宿舍,7.1,972.0
S0321,大一,护理学院,饭堂,5.7,1392.0
S0322,大一,护理学院,宿舍,3.1,1383.0
S0323,大四,护理学院,图书馆,17.8,817.0
S0324,大三,护理学院,宿舍,4.0,1401.0
S0325,大三,护理学院,宿舍,3.3,1013.0
S0326,大四,护理学院,图书馆,18.7,1237.0
S0327,大一,护理学院,宿舍,6.5,771.0
S0328,大一,护理学院,宿舍,3.9,1066.0
S0329,大四,护理学院,图书馆,17.5,1287.0
S0330,大三,护理学院,宿舍,1.5,813.0
S0331,大三,护理学院,宿舍,5.1,1127.0
S0332,大二,护理学院,宿舍,4.2,794.0
S0333,大一,护理学院,饭堂,2.1,1271.0
S0334,大三,护理学院,图书馆,14.7,939.0
S0335,大二,护理学院,饭堂,4.3,1460.0
S0336,大三,护理学院,图书馆,13.6,863.0
S0337,大四,护理学院,图书馆,13.3,1458.0
S0338,大一,护理学院,饭堂,1.9,1271.0
S0339,大二,护理学院,宿舍,6.1,1113.0
S0340,大三,护理学院,宿舍,5.1,1056.0
S0341,大一,护理学院,体育馆,2.9,1430.0
S0342,大二,护理学院,饭堂,2.5,1379.0
S0343,大三,护理学院,图书馆,18.4,686.0
S0344,大三,护理学院,图书馆,15.5,955.0
S0345,大一,护理学院,宿舍,4.2,733.0
S0346,大三,护理学院,图书馆,14.6,1088.0
S0347,大四,护理学院,图书馆,19.1,985.0
S0348,大二,护理学院,饭堂,4.7,1628.0
S0349,大三,护理学院,宿舍,3.6,1080.0
S0350,大一,护理学院,宿舍,5.7,940.0
S0351,大四,护理学院,图书馆,15.1,861.0
S0352,大三,护理学院,图书馆,16.6,1250.0
S0353,大三,护理学院,图书馆,15.7,1429.0
S0354,大二,护理学院,饭堂,5.0,1683.0
S0355,大一,护理学院,饭堂,4.1,1571.0
S0356,大三,护理学院,图书馆,16.2,726.0
S0357,大二,护理学院,饭堂,2.8,1928.0
S0358,大二,护理学院,宿舍,4.9,1326.0
S0359,大一,护理学院,饭堂,3.1,1397.0
S0360,大一,护理学院,饭堂,4.1,1446.0
S0361,大一,护理学院,宿舍,4.4,689.0
S0362,大四,护理学院,图书馆,17.7,1424.0
S0363,大二,护理学院,饭堂,5.0,1989.0
S0364,大三,护理学院,图书馆,17.1,864.0
S0365,大四,护理学院,图书馆,17.8,816.0
S0366,大一,护理学院,宿舍,3.8,819.0
S0367,大三,护理学院,图书馆,18.6,1122.0
S0368,大四,护理学院,图书馆,16.2,719.0
S0369,大一,护理学院,体育馆,4.1,1695.0
S0370,大三,护理学院,图书馆,15.9,1045.0
S0371,大三,护理学院,图书馆,17.8,1116.0
S0372,大三,护理学院,图书馆,15.4,822.0
S0373,大二,护理学院,饭堂,4.1,1742.0
S0374,大二,护理学院,饭堂,7.2,1374.0
S0375,大二,护理学院,体育馆,4.4,1500.0
S0376,大四,护理学院,图书馆,17.1,980.0
S0377,大二,护理学院,宿舍,4.4,1064.0
S0378,大三,护理学院,图书馆,16.7,849.0
S0379,大一,护理学院,宿舍,4.0,998.0
S0380,大三,护理学院,宿舍,4.0,1164.0
S0381,大三,护理学院,宿舍,4.0,738.0
S0382,大二,护理学院,饭堂,3.1,1563.0
S0383,大一,护理学院,饭堂,4.1,1706.0
S0384,大四,护理学院,图书馆,14.3,871.0
S0385,大二,护理学院,饭堂,4.4,1441.0
S0386,大一,护理学院,宿舍,2.6,1083.0
S0387,大一,护理学院,宿舍,3.0,987.0
S0388,大四,护理学院,图书馆,17.2,933.0
S0389,大四,护理学院,图书馆,16.2,918.0
S0390,大一,护理学院,饭堂,4.5,1474.0
S0391,大一,护理学院,宿舍,1.7,1182.0
S0392,大三,护理学院,图书馆,15.4,958.0
S0393,大四,护理学院,图书馆,14.9,955.0
S0394,大二,护理学院,饭堂,4.8,1752.0
S0395,大三,护理学院,图书馆,16.1,500.0
S0396,大一,护理学院,饭堂,3.2,1678.0
S0397,大二,护理学院,饭堂,4.0,1716.0
S0398,大一,护理学院,宿舍,5.8,968.0
S0399,大一,护理学院,饭堂,3.3,1423.0
S0400,大三,护理学院,图书馆,14.9,677.0
S0401,大二,商学院,饭堂,7.7,1808.0
S0402,大三,商学院,图书馆,12.4,902.0
S0403,大一,商学院,宿舍,17.6,879.0
S0404,大三,商学院,体育馆,14.6,1890.0
S0405,大一,商学院,体育馆,11.6,1331.0
S0406,大二,商学院,饭堂,8.7,1637.0
S0407,大一,商学院,体育馆,5.3,1257.0
S0408,大二,商学院,饭堂,6.3,1707.0
S0409,大一,商学院,体育馆,14.1,1680.0
S0410,大一,商学院,体育馆,13.5,1311.0
S0411,大三,商学院,图书馆,8.9,950.0
S0412,大三,商学院,体育馆,11.6,2041.0
S0413,大一,商学院,宿舍,7.7,1186.0
S0414,大四,商学院,图书馆,15.3,1102.0
S0415,大三,商学院,图书馆,8.7,832.0
S0416,大四,商学院,图书馆,6.3,607.0
S0417,大二,商学院,饭堂,9.2,1545.0
S0418,大四,商学院,图书馆,13.0,883.0
S0419,大四,商学院,体育馆,9.4,1571.0
S0420,大三,商学院,图书馆,11.7,1147.0
S0421,大三,商学院,图书馆,10.6,741.0
S0422,大四,商学院,体育馆,11.4,1337.0
S0423,大三,商学院,图书馆,14.3,1004.0
S0424,大三,商学院,图书馆,10.8,1520.0
S0425,大一,商学院,体育馆,12.6,1595.0
S0426,大三,商学院,体育馆,9.5,1194.0
S0427,大一,商学院,体育馆,9.3,1287.0
S0428,大三,商学院,图书馆,15.8,1079.0
S0429,大三,商学院,图书馆,14.2,878.0
S0430,大二,商学院,体育馆,7.3,1662.0
S0431,大四,商学院,图书馆,6.9,913.0
S0432,大二,商学院,宿舍,16.0,920.0
S0433,大四,商学院,图书馆,5.0,648.0
S0434,大三,商学院,图书馆,4.7,1253.0
S0435,大三,商学院,图书馆,8.1,1512.0
S0436,大三,商学院,图书馆,15.4,1401.0
S0437,大二,商学院,饭堂,13.6,1719.0
S0438,大一,商学院,宿舍,7.1,999.0
S0439,大一,商学院,体育馆,12.4,1739.0
S0440,大三,商学院,图书馆,6.0,961.0
S0441,大二,商学院,体育馆,9.7,1470.0
S0442,大二,商学院,饭堂,6.4,1971.0
S0443,大三,商学院,体育馆,9.2,1260.0
S0444,大三,商学院,图书馆,16.6,1309.0
S0445,大一,商学院,体育馆,10.5,1058.0
S0446,大一,商学院,宿舍,8.4,681.0
S0447,大四,商学院,体育馆,11.8,1367.0
S0448,大二,商学院,体育馆,9.9,1943.0
S0449,大二,商学院,饭堂,7.9,1694.0
S0450,大三,商学院,图书馆,12.7,1245.0
S0451,大四,商学院,图书馆,9.6,959.0
S0452,大一,商学院,体育馆,9.2,1592.0
S0453,大一,商学院,饭堂,15.2,1546.0
S0454,大一,商学院,体育馆,1.5,1721.0
S0455,大二,商学院,宿舍,10.2,1103.0
S0456,大四,商学院,图书馆,4.5,894.0
S0457,大三,商学院,体育馆,12.8,1186.0
S0458,大一,商学院,体育馆,11.6,1491.0
S0459,大三,商学院,图书馆,7.4,838.0
S0460,大四,商学院,图书馆,6.4,1012.0
S0461,大四,商学院,体育馆,10.6,1408.0
S0462,大二,商学院,体育馆,6.2,770.0
S0463,大一,商学院,宿舍,11.5,1181.0
S0464,大二,商学院,体育馆,12.2,2014.0
S0465,大一,商学院,体育馆,9.4,1844.0
S0466,大一,商学院,饭堂,7.7,1440.0
S0467,大一,商学院,体育馆,10.4,1906.0
S0468,大一,商学院,宿舍,9.0,687.0
S0469,大四,商学院,体育馆,13.1,1481.0
S0470,大二,商学院,体育馆,11.0,1312.0
S0471,大三,商学院,图书馆,10.4,712.0
S0472,大一,商学院,饭堂,16.6,1816.0
S0473,大三,商学院,图书馆,10.2,1171.0
S0474,大一,商学院,饭堂,7.7,1806.0
S0475,大四,商学院,体育馆,8.8,1399.0
S0476,大一,商学院,宿舍,6.7,1085.0
S0477,大二,商学院,饭堂,10.1,1882.0
S0478,大四,商学院,图书馆,6.3,1086.0
S0479,大四,商学院,图书馆,14.2,1518.0
S0480,大三,商学院,体育馆,10.7,1412.0
S0481,大一,商学院,宿舍,10.6,1264.0
S0482,大三,商学院,图书馆,14.6,976.0
S0483,大二,商学院,体育馆,14.5,1494.0
S0484,大二,商学院,体育馆,12.9,1637.0
S0485,大一,商学院,体育馆,8.6,1269.0
S0486,大二,商学院,饭堂,14.3,1904.0
S0487,大二,商学院,宿舍,11.4,995.0
S0488,大三,商学院,图书馆,5.9,1238.0
S0489,大三,商学院,图书馆,11.0,948.0
S0490,大一,商学院,宿舍,13.0,731.0
S0491,大三,商学院,图书馆,6.5,864.0
S0492,大一,商学院,体育馆,11.8,1545.0
S0493,大四,商学院,体育馆,12.2,1777.0
S0494,大一,商学院,宿舍,12.4,1380.0
S0495,大一,商学院,体育馆,13.9,1470.0
S0496,大二,商学院,体育馆,8.1,1477.0
S0497,大三,商学院,体育馆,12.5,1391.0
S0498,大一,商学院,宿舍,12.6,1123.0
S0499,大一,商学院,宿舍,6.7,1217.0
S0500,大三,商学院,图书馆,11.3,1368.0
S0501,大一,商学院,体育馆,9.9,1424.0
S0502,大二,商学院,体育馆,6.3,1233.0
S0503,大三,商学院,图书馆,13.3,1342.0
S0504,大四,商学院,图书馆,9.6,966.0
S0505,大三,商学院,图书馆,10.2,1232.0
S0506,大一,商学院,宿舍,6.8,1048.0
S0507,大一,商学院,宿舍,13.4,1100.0
S0508,大四,商学院,图书馆,1.0,1136.0
S0509,大二,商学院,体育馆,11.8,1843.0
S0510,大四,商学院,图书馆,15.6,1263.0
S0511,大二,商学院,饭堂,10.3,1280.0
S0512,大一,商学院,体育馆,17.6,1456.0
S0513,大四,商学院,图书馆,10.2,1339.0
S0514,大三,商学院,图书馆,7.4,736.0
S0515,大二,商学院,体育馆,8.5,1327.0
S0516,大四,商学院,图书馆,5.1,983.0
S0517,大三,商学院,图书馆,10.3,708.0
S0518,大一,商学院,体育馆,8.9,1312.0
S0519,大三,商学院,图书馆,3.4,1023.0
S0520,大四,商学院,图书馆,10.7,850.0
S0521,大一,商学院,体育馆,13.8,1505.0
S0522,大二,商学院,饭堂,7.5,1297.0
S0523,大二,商学院,体育馆,10.9,1627.0
S0524,大三,商学院,图书馆,8.3,1029.0
S0525,大一,商学院,体育馆,15.6,1724.0
S0526,大一,商学院,体育馆,2.5,1320.0
S0527,大一,商学院,体育馆,9.5,1519.0
S0528,大一,商学院,体育馆,10.6,1610.0
S0529,大三,商学院,图书馆,9.7,1004.0
S0530,大三,商学院,体育馆,13.3,1572.0
S0531,大三,商学院,图书馆,6.0,1022.0
S0532,大一,商学院,体育馆,9.6,1030.0
S0533,大二,商学院,体育馆,10.6,1243.0
S0534,大二,商学院,饭堂,13.4,1685.0
S0535,大三,商学院,图书馆,5.8,1184.0
S0536,大二,商学院,饭堂,14.9,1550.0
S0537,大三,商学院,体育馆,9.5,1703.0
S0538,大二,商学院,体育馆,14.6,1084.0
S0539,大三,商学院,图书馆,6.2,918.0
S0540,大二,商学院,体育馆,8.9,1695.0
S0541,大一,商学院,体育馆,14.6,1849.0
S0542,大二,商学院,体育馆,4.1,1299.0
S0543,大三,商学院,图书馆,5.7,882.0
S0544,大四,商学院,图书馆,7.2,1085.0
S0545,大二,商学院,体育馆,11.9,1502.0
S0546,大二,商学院,体育馆,9.7,1407.0
S0547,大一,商学院,体育馆,9.1,1900.0
S0548,大一,商学院,宿舍,12.4,933.0
S0549,大三,商学院,体育馆,9.6,1612.0
S0550,大二,商学院,体育馆,5.8,1536.0
S0551,大二,商学院,体育馆,12.2,1625.0
