Track_Name,Artist,Genre,Danceability,Energy,Valence,Stream_Count
Neon City,Drake,EDM,0.832,0.848,0.592,18984882
Neon Love,Billie Eilish,Hip Hop,0.578,0.704,0.807,119947845
Electric Light,David Guetta,Rock,0.534,0.904,0.32,66911981
Golden Dreams,Kendrick Lamar,Rock,0.504,0.815,0.245,138585418
Neon Vibes,David Guetta,Latin,1.0,0.89,0.692,20769137
Sweet City,The Weeknd,EDM,1.0,0.937,0.687,19531763
Summer Love,Kendrick Lamar,Hip Hop,0.175,0.432,0.38,29840212
Neon Dreams,Rosalia,Hip Hop,0.668,0.448,0.53,1095258514
Golden Heart,Billie Eilish,Latin,0.42,0.79,0.385,137327447
Sweet Dreams,Calvin Harris,Hip Hop,0.836,0.336,0.866,32483295
Electric Shadows,The Weeknd,Hip Hop,0.577,0.257,0.771,420403056
Midnight Light,David Guetta,Hip Hop,0.601,0.281,0.38,70454022
Electric Dreams,Post Malone,Rock,0.34,0.732,0.525,53033310
Silent Love,David Guetta,Pop,0.857,0.718,0.803,12152395
Dark Echo,Taylor Swift,Hip Hop,0.666,0.293,0.756,21365118
Silent Vibes,Calvin Harris,Rock,0.677,1.0,0.423,72658266
Bitter Dreams,David Guetta,Latin,0.55,1.0,0.851,281982741
Summer Echo,Drake,R&B,0.407,0.729,0.774,183748253
Lost Tears,Drake,R&B,0.363,0.812,0.148,3082192
Dark Light,SZA,R&B,0.9,0.546,0.644,73378546
Dark Love,Rosalia,Pop,0.494,0.944,0.424,60410799
Neon Dreams,Drake,Pop,0.44,0.758,0.693,57443932
Sweet Dreams,Dua Lipa,Latin,0.673,0.339,0.634,16033331
Bitter Tears,David Guetta,Latin,0.587,0.497,0.288,275118777
Lost Tears,Kendrick Lamar,Hip Hop,0.494,0.403,0.601,19988961
Silent Dreams,SZA,Hip Hop,0.489,0.579,0.293,10888123
Neon Vibes,Kendrick Lamar,R&B,0.46,0.993,0.507,90509906
Sweet Vibes,Drake,Pop,0.842,0.683,0.656,204537433
Bitter City,Kendrick Lamar,Hip Hop,0.545,0.494,0.385,2078419
Silent Shadows,Dua Lipa,R&B,0.929,0.297,0.773,45192691
Bitter Dreams,Kendrick Lamar,Hip Hop,1.0,0.715,0.562,352077671
Bitter Shadows,Calvin Harris,R&B,0.279,0.574,0.309,89093367
Neon Heart,Dua Lipa,EDM,0.735,0.774,0.366,12963885
Lost Shadows,Ed Sheeran,Hip Hop,0.598,0.937,0.676,604502406
Electric Heart,Dua Lipa,Latin,0.905,0.615,0.328,147356453
Summer Light,Calvin Harris,R&B,0.425,0.393,0.462,8250632
Dark Nights,Dua Lipa,Hip Hop,0.32,0.785,0.882,152771493
Neon City,Ed Sheeran,Hip Hop,0.482,0.47,0.403,17966398
Silent City,David Guetta,Latin,0.654,0.61,0.334,60893855
Dark Dreams,David Guetta,R&B,0.485,0.552,0.318,203889112
Electric Love,Billie Eilish,Latin,0.62,0.7,0.304,202668193
Silent Light,Dua Lipa,Pop,0.651,0.45,0.809,154529875
Midnight City,Ariana Grande,Hip Hop,0.274,0.447,0.139,70570828
Summer Vibes,Ed Sheeran,Hip Hop,0.728,0.652,0.319,5431467
Sweet Tears,Post Malone,Latin,0.47,0.587,0.258,70498219
Midnight City,Drake,R&B,0.801,0.428,0.423,27636894
Lost Heart,Post Malone,Rock,0.579,0.925,0.174,570687841
Neon Light,Post Malone,Hip Hop,0.715,0.106,0.341,48420407
Silent Light,Calvin Harris,Hip Hop,0.617,0.674,0.379,51985955
Lost Nights,Drake,Rock,0.551,0.975,0.451,35398660
Electric City,Kendrick Lamar,R&B,0.679,0.502,0.413,34918358
Bitter Love,Post Malone,Pop,0.881,0.743,1.0,40263854
Dark Dreams,Taylor Swift,R&B,0.192,0.84,0.418,14474087
Sweet Love,Calvin Harris,Pop,0.753,0.419,0.63,811711848
Midnight Light,Kendrick Lamar,Hip Hop,0.766,0.665,0.456,2381633
Bitter Heart,The Weeknd,EDM,0.652,0.874,0.804,365081460
Silent Heart,Calvin Harris,Latin,0.727,0.668,0.417,1979359781
Dark Love,Billie Eilish,Pop,0.681,0.727,0.75,18351712
Midnight Dreams,Billie Eilish,Pop,0.761,0.825,0.529,32072638
Summer Shadows,Calvin Harris,Hip Hop,0.808,0.696,0.567,30553059
Summer City,Taylor Swift,Rock,0.433,0.76,0.204,115635173
Sweet Nights,Billie Eilish,R&B,0.774,0.751,0.316,501671854
Dark Love,Ariana Grande,Pop,0.634,0.762,1.0,10150341
Bitter Echo,Post Malone,Hip Hop,0.731,0.244,0.799,60407449
Bitter Tears,Billie Eilish,EDM,1.0,0.878,0.425,79704114
Bitter Love,Kendrick Lamar,Latin,0.696,0.622,0.645,91864574
Silent Love,Rosalia,Rock,0.782,0.681,0.494,494041494
Electric Nights,Drake,Pop,0.602,0.939,0.598,54369811
Neon Echo,The Weeknd,Hip Hop,0.262,0.611,0.719,651198766
Sweet Vibes,Billie Eilish,R&B,0.398,0.568,0.415,5486027
Silent Love,Billie Eilish,Hip Hop,0.342,0.765,0.515,9410925
Golden Nights,Kendrick Lamar,Rock,0.461,0.75,0.734,6887960
Dark Vibes,Billie Eilish,R&B,0.1,0.551,0.445,60524433
Silent Shadows,Ariana Grande,EDM,0.985,0.827,0.789,355788689
Electric Light,David Guetta,Rock,0.886,0.76,0.179,71759273
Bitter City,The Weeknd,Pop,0.78,0.702,0.695,52875961
Neon Dreams,David Guetta,Hip Hop,0.593,0.485,0.391,29059698
Dark Shadows,Rosalia,R&B,0.549,0.457,0.521,626706873
Bitter City,Drake,R&B,0.849,0.1,0.718,2928247
Summer Tears,Ariana Grande,Hip Hop,0.318,0.531,0.426,20445532
Lost City,Calvin Harris,Hip Hop,0.787,0.378,0.85,442226451
Dark Heart,Bad Bunny,Rock,0.421,0.908,0.174,136804278
Summer Heart,The Weeknd,EDM,0.776,0.728,0.793,37421979
Silent Tears,David Guetta,Pop,0.696,0.807,0.789,373711514
Silent Heart,Bad Bunny,Hip Hop,0.719,0.384,0.623,41271400
Bitter Nights,Dua Lipa,Latin,0.785,0.665,0.25,49756257
Sweet Echo,Bad Bunny,Hip Hop,0.459,0.495,0.71,7939080
Bitter Vibes,Bad Bunny,Pop,0.558,0.467,0.821,912949635
Neon Love,Rosalia,Pop,0.782,0.388,1.0,56793380
Summer Light,Taylor Swift,R&B,0.592,0.491,0.58,343587656
Summer Light,The Weeknd,Rock,0.445,0.817,0.43,60284257
Neon Love,David Guetta,Hip Hop,0.33,0.662,0.158,200213757
Silent Echo,SZA,R&B,0.604,0.634,0.463,110593575
Summer Tears,Billie Eilish,Rock,0.529,0.719,0.244,15133794
Silent Heart,Calvin Harris,R&B,0.806,0.682,0.159,133404473
Bitter City,Bad Bunny,Latin,0.933,0.651,0.697,300679387
Bitter City,Taylor Swift,Rock,0.406,0.524,0.144,68280622
Neon Vibes,Ed Sheeran,Latin,0.637,0.704,0.355,21145244
Electric Shadows,Rosalia,Pop,0.612,0.608,0.419,8644839
Summer Echo,Dua Lipa,Rock,0.358,0.654,0.611,3405212208
Dark Vibes,Post Malone,Pop,0.621,0.774,0.737,187720520
Golden Shadows,Taylor Swift,Rock,0.884,0.714,0.424,56849054
Dark Nights,Dua Lipa,R&B,0.593,0.83,0.359,935134524
Electric Love,Post Malone,EDM,0.871,0.787,1.0,28241408
Midnight Nights,Kendrick Lamar,EDM,0.862,0.913,0.845,6228604
Midnight Light,Ed Sheeran,Latin,0.585,0.455,0.45,166583650
Bitter Tears,Ariana Grande,Hip Hop,0.676,0.636,0.233,164082288
Bitter Shadows,Drake,Hip Hop,0.767,0.712,0.716,130746398
Sweet Dreams,Drake,Latin,0.686,0.586,0.168,89659662
Electric Echo,The Weeknd,Pop,0.588,0.741,0.445,318689961
Bitter Nights,Calvin Harris,Latin,0.606,0.592,0.636,68657038
Golden Shadows,Kendrick Lamar,Rock,0.514,0.941,0.297,32821261
Bitter Heart,Post Malone,Rock,0.533,0.735,0.338,32020185
Lost Light,SZA,Pop,0.722,0.888,0.521,33950135
Neon Love,Ariana Grande,Pop,0.905,0.917,0.739,7072039
Lost City,Dua Lipa,R&B,0.616,0.653,0.678,324637769
Sweet Shadows,Calvin Harris,Hip Hop,1.0,0.497,0.782,38100659
Bitter City,Calvin Harris,EDM,0.958,0.805,0.941,29970075
Electric Heart,Ed Sheeran,Pop,0.548,0.637,0.644,16552075
Electric Dreams,Kendrick Lamar,Pop,0.745,0.549,0.546,93299200
Golden Dreams,David Guetta,Pop,0.898,0.933,0.5,47632065
Neon Nights,Calvin Harris,R&B,0.375,0.59,0.635,116524792
Bitter Shadows,Post Malone,EDM,0.829,0.867,0.748,2610872281
Midnight Echo,Dua Lipa,Latin,0.475,0.472,0.394,28539062
Dark Love,The Weeknd,Pop,0.963,0.604,0.938,27892839
Lost Love,The Weeknd,Rock,0.417,0.675,0.494,169675394
Electric Tears,Ed Sheeran,Hip Hop,0.91,0.641,0.197,970980078
Sweet City,The Weeknd,EDM,0.829,0.789,0.572,108437571
Summer Love,Kendrick Lamar,R&B,0.565,0.732,0.902,19826978
Silent Light,Billie Eilish,Pop,0.745,0.493,0.554,969059716
Bitter Love,Kendrick Lamar,Pop,0.748,0.622,0.745,390363888
Summer Love,Post Malone,Latin,0.502,1.0,0.394,314420341
Bitter Dreams,Ariana Grande,Hip Hop,0.717,0.736,0.869,38303884
Electric Heart,Ariana Grande,Rock,0.623,0.889,0.622,140527119
Dark Light,Billie Eilish,EDM,0.938,0.957,0.884,173739017
Lost Dreams,SZA,EDM,0.921,0.833,0.679,19280340
Electric Vibes,Calvin Harris,Pop,0.754,0.755,0.621,446825096
Bitter Nights,Taylor Swift,R&B,0.328,0.638,0.509,201113573
Electric Heart,Rosalia,Latin,0.538,0.729,0.933,91214596
Midnight Love,Bad Bunny,Hip Hop,0.581,0.65,0.815,99785385
Dark Heart,Taylor Swift,Latin,0.511,0.722,0.537,87849439
Electric Light,Dua Lipa,Latin,0.627,0.815,0.295,22972738
Dark Dreams,Ed Sheeran,R&B,0.488,0.839,0.195,115619803
Electric Shadows,Bad Bunny,R&B,0.489,0.913,0.487,1103481042
Silent Heart,Bad Bunny,Pop,0.816,0.483,0.26,30920150
Midnight Love,Dua Lipa,EDM,0.824,0.748,0.792,28173209
Neon City,Billie Eilish,Latin,0.73,0.344,0.674,56583965
Neon Love,Ed Sheeran,EDM,0.647,1.0,0.436,23257492
Summer Heart,Kendrick Lamar,Pop,0.714,0.693,0.749,111338213
Summer Love,Taylor Swift,Hip Hop,0.584,0.35,0.789,350876106
Golden Nights,Calvin Harris,Rock,0.585,0.851,0.491,128515855
Lost Nights,Ed Sheeran,R&B,0.639,0.729,0.766,190184580
Neon Nights,Dua Lipa,Hip Hop,0.465,0.582,0.788,978381906
Golden Echo,David Guetta,Hip Hop,0.626,0.592,0.214,23639332
Midnight Heart,Billie Eilish,Rock,0.433,0.926,0.269,3858113
Midnight City,Taylor Swift,R&B,0.283,0.51,0.1,205431249
Neon Heart,David Guetta,R&B,0.407,0.757,0.585,61125089
Bitter City,Drake,Hip Hop,0.901,0.599,0.268,244822357
Electric Shadows,David Guetta,R&B,0.642,0.556,0.505,3070643
Neon Heart,Post Malone,R&B,0.4,0.551,0.364,43070529
Electric Love,Dua Lipa,Hip Hop,0.486,0.96,0.628,154990467
